trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.9, 'e': 1.0}",30,0,-210.8484853,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
2,FALSE,"{'a': 0.9, 'e': 0.25}",20,0,-72.64291612,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,FALSE,"{'a': 0.9, 'e': 0.1111111111111111}",20,0,-53.73348731,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
4,FALSE,"{'a': 0.9, 'e': 0.0625}",30,14,-50.8787077,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,FALSE,"{'a': 0.9, 'e': 0.04}",30,0,-19.09671665,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,FALSE,"{'a': 0.9, 'e': 0.027777777777777776}",20,13,-43.110138,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,FALSE,"{'a': 0.9, 'e': 0.02040816326530612}",25,0,-133.4165757,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 3}",0
8,FALSE,"{'a': 0.9, 'e': 0.015625}",25,17,-28.09570465,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,FALSE,"{'a': 0.9, 'e': 0.012345679012345678}",25,0,-77.45752022,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,FALSE,"{'a': 0.9, 'e': 0.01}",20,2,25.56990593,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,FALSE,"{'a': 0.9, 'e': 0.008264462809917356}",30,3,17.83037942,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
12,FALSE,"{'a': 0.9, 'e': 0.006944444444444444}",20,0,16.63591141,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,FALSE,"{'a': 0.9, 'e': 0.005917159763313609}",25,7,23.74243794,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,FALSE,"{'a': 0.9, 'e': 0.00510204081632653}",25,0,-66.29247411,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
15,FALSE,"{'a': 0.9, 'e': 0.0044444444444444444}",25,16,17.1800276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,FALSE,"{'a': 0.9, 'e': 0.00390625}",35,20,-15.10184303,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,FALSE,"{'a': 0.9, 'e': 0.0034602076124567475}",25,15,-1.108254153,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,FALSE,"{'a': 0.9, 'e': 0.0030864197530864196}",30,8,30.64659092,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.9, 'e': 0.002770083102493075}",25,0,19.71932609,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
20,FALSE,"{'a': 0.9, 'e': 0.0025}",20,0,26.18250207,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,FALSE,"{'a': 0.9, 'e': 0.0022675736961451248}",20,0,30.93998514,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,FALSE,"{'a': 0.9, 'e': 0.002066115702479339}",25,7,27.80025721,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,FALSE,"{'a': 0.9, 'e': 0.001890359168241966}",25,0,31.4201332,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,FALSE,"{'a': 0.9, 'e': 0.001736111111111111}",20,3,32.5341814,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,FALSE,"{'a': 0.9, 'e': 0.0016}",35,17,18.14893678,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,FALSE,"{'a': 0.9, 'e': 0.0014792899408284023}",30,7,37.18285018,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,FALSE,"{'a': 0.9, 'e': 0.0013717421124828531}",20,0,27.00240261,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,FALSE,"{'a': 0.9, 'e': 0.0012755102040816326}",20,9,19.70087135,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,FALSE,"{'a': 0.9, 'e': 0.0011890606420927466}",35,8,46.67521052,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,FALSE,"{'a': 0.9, 'e': 0.0011111111111111111}",25,13,20.29131514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,FALSE,"{'a': 0.9, 'e': 0.001040582726326743}",25,0,41.15564501,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,FALSE,"{'a': 0.9, 'e': 0.0009765625}",30,10,-16.67860667,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
33,FALSE,"{'a': 0.9, 'e': 0.0009182736455463728}",20,12,12.920645,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,FALSE,"{'a': 0.9, 'e': 0.0008650519031141869}",20,13,0.210899172,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,FALSE,"{'a': 0.9, 'e': 0.0008163265306122449}",25,0,-2.402991753,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,FALSE,"{'a': 0.9, 'e': 0.0007716049382716049}",25,9,26.84825216,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,FALSE,"{'a': 0.9, 'e': 0.0007304601899196494}",20,0,30.46813331,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,FALSE,"{'a': 0.9, 'e': 0.0006925207756232687}",30,16,24.51212061,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,FALSE,"{'a': 0.9, 'e': 0.0006574621959237344}",20,8,21.22982086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,FALSE,"{'a': 0.9, 'e': 0.000625}",30,15,18.32139531,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,FALSE,"{'a': 0.9, 'e': 0.000594883997620464}",25,0,30.51782908,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,FALSE,"{'a': 0.9, 'e': 0.0005668934240362812}",20,0,29.33404823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,FALSE,"{'a': 0.9, 'e': 0.0005408328826392645}",20,14,8.562942769,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,FALSE,"{'a': 0.9, 'e': 0.0005165289256198347}",25,8,25.2828483,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,FALSE,"{'a': 0.9, 'e': 0.0004938271604938272}",25,0,34.63068152,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
